Record #:  0
Notes :


6/26/20192:23:20 PMRecord #:  0
Notes :


6/26/20192:23:20 PM
Volts Data

CH1	CH2	CH3	CH4	CH5	CH6	CH7	CH8	
433.111191E-6	-364.637375E-6	13.017654E-6	-484.609604E-6	-722.551346E-6	255.632401E-6	-409.603119E-6	94.842911E-6
433.397293E-6	-364.494324E-6	12.969971E-6	-484.418869E-6	-722.789764E-6	255.155563E-6	-409.460068E-6	93.889236E-6
433.444977E-6	-365.066528E-6	12.397766E-6	-483.608246E-6	-722.742081E-6	255.250931E-6	-408.792496E-6	93.746185E-6
433.731079E-6	-364.875793E-6	12.826920E-6	-482.940674E-6	-722.360611E-6	255.918503E-6	-409.364700E-6	93.364716E-6
433.731079E-6	-365.447998E-6	12.683868E-6	-483.274460E-6	-722.932816E-6	255.060196E-6	-409.889221E-6	93.650818E-6
434.589386E-6	-364.637375E-6	12.636185E-6	-484.228134E-6	-723.505020E-6	254.869461E-6	-409.364700E-6	94.270706E-6
434.446335E-6	-364.398956E-6	12.445450E-6	-484.657288E-6	-723.314285E-6	255.680084E-6	-409.460068E-6	93.889236E-6
433.397293E-6	-364.685059E-6	11.348724E-6	-483.608246E-6	-722.885132E-6	255.060196E-6	-409.984589E-6	94.127655E-6
433.349609E-6	-364.923477E-6	11.825562E-6	-483.226776E-6	-723.505020E-6	254.821777E-6	-409.364700E-6	93.412399E-6
432.682037E-6	-364.255905E-6	12.540817E-6	-484.037399E-6	-722.694397E-6	255.393982E-6	-409.555435E-6	93.173981E-6
432.825089E-6	-364.637375E-6	12.445450E-6	-484.228134E-6	-722.932816E-6	255.250931E-6	-408.983231E-6	93.269348E-6
433.874130E-6	-364.732742E-6	12.731552E-6	-484.037399E-6	-722.599030E-6	255.346298E-6	-409.078598E-6	93.269348E-6
433.492661E-6	-364.923477E-6	12.779236E-6	-483.894348E-6	-722.646713E-6	256.013870E-6	-409.269333E-6	93.460083E-6
432.205200E-6	-365.161896E-6	12.445450E-6	-483.083725E-6	-722.503662E-6	255.203247E-6	-410.175323E-6	93.126297E-6
432.825089E-6	-365.352631E-6	13.303757E-6	-483.369827E-6	-722.694397E-6	255.680084E-6	-409.221649E-6	94.175339E-6
432.777405E-6	-365.018845E-6	12.779236E-6	-483.560562E-6	-722.932816E-6	254.297256E-6	-407.981873E-6	93.221664E-6
432.538986E-6	-364.589691E-6	12.493134E-6	-483.179092E-6	-723.171234E-6	254.106522E-6	-408.315659E-6	94.127655E-6
432.682037E-6	-364.828110E-6	12.779236E-6	-483.465195E-6	-723.648071E-6	254.678726E-6	-408.315659E-6	93.364716E-6
433.778763E-6	-364.923477E-6	12.779236E-6	-482.654572E-6	-724.029541E-6	254.917145E-6	-408.697128E-6	93.221664E-6
434.064865E-6	-364.875793E-6	12.636185E-6	-483.894348E-6	-722.599030E-6	254.678726E-6	-408.935547E-6	93.603134E-6
433.683395E-6	-365.304947E-6	12.159348E-6	-484.561920E-6	-722.599030E-6	254.583359E-6	-409.078598E-6	92.935562E-6
434.064865E-6	-364.828110E-6	12.636185E-6	-484.323502E-6	-723.171234E-6	254.440308E-6	-408.411026E-6	92.840195E-6
433.731079E-6	-364.828110E-6	12.207031E-6	-483.369827E-6	-723.075867E-6	253.963470E-6	-409.650803E-6	93.221664E-6
432.920456E-6	-364.494324E-6	11.968613E-6	-483.465195E-6	-722.742081E-6	254.249573E-6	-409.460068E-6	93.412399E-6
432.968140E-6	-365.018845E-6	12.588501E-6	-484.085083E-6	-723.457336E-6	254.297256E-6	-408.792496E-6	93.078613E-6
433.492661E-6	-365.114212E-6	12.922287E-6	-483.846664E-6	-723.743439E-6	254.917145E-6	-409.507751E-6	93.507767E-6
433.206558E-6	-364.446640E-6	13.399124E-6	-484.275818E-6	-722.980499E-6	256.013870E-6	-408.554077E-6	93.317032E-6
433.349609E-6	-365.495682E-6	12.302399E-6	-483.942032E-6	-722.837448E-6	255.441666E-6	-410.079956E-6	93.126297E-6
433.254242E-6	-366.020203E-6	13.208389E-6	-483.894348E-6	-723.314285E-6	255.155563E-6	-410.318375E-6	93.412399E-6
433.254242E-6	-365.638733E-6	13.065338E-6	-483.894348E-6	-723.791122E-6	256.347656E-6	-408.983231E-6	93.221664E-6
433.397293E-6	-364.875793E-6	12.683868E-6	-483.369827E-6	-723.505020E-6	255.632401E-6	-408.792496E-6	93.889236E-6
433.731079E-6	-363.588333E-6	12.207031E-6	-483.942032E-6	-723.600388E-6	254.344940E-6	-410.127640E-6	94.604492E-6
433.301926E-6	-364.303589E-6	11.825562E-6	-484.085083E-6	-723.409653E-6	255.107880E-6	-408.792496E-6	93.412399E-6
431.919098E-6	-365.304947E-6	12.302399E-6	-484.895706E-6	-723.075867E-6	254.726410E-6	-408.935547E-6	93.269348E-6
432.729721E-6	-365.257263E-6	12.540817E-6	-484.895706E-6	-722.503662E-6	256.443024E-6	-408.267975E-6	93.746185E-6
433.874130E-6	-364.923477E-6	12.540817E-6	-484.371185E-6	-722.455978E-6	255.060196E-6	-408.315659E-6	92.792511E-6
433.397293E-6	-364.875793E-6	12.636185E-6	-485.038757E-6	-722.599030E-6	254.726410E-6	-408.458710E-6	93.030930E-6
433.492661E-6	-365.209579E-6	11.968613E-6	-484.561920E-6	-722.503662E-6	255.870819E-6	-408.935547E-6	93.984604E-6
432.395935E-6	-364.208221E-6	11.491776E-6	-483.703613E-6	-722.599030E-6	255.870819E-6	-409.460068E-6	93.412399E-6
433.111191E-6	-365.447998E-6	12.063980E-6	-483.798981E-6	-723.075867E-6	256.252289E-6	-409.841537E-6	92.887878E-6
433.540344E-6	-365.829468E-6	11.873245E-6	-483.560562E-6	-722.503662E-6	256.395340E-6	-410.175323E-6	93.078613E-6
433.635712E-6	-365.829468E-6	11.873245E-6	-483.894348E-6	-722.694397E-6	256.252289E-6	-408.887863E-6	93.793869E-6
433.731079E-6	-365.543365E-6	12.540817E-6	-484.418869E-6	-723.600388E-6	255.727768E-6	-407.981873E-6	93.650818E-6
433.111191E-6	-365.114212E-6	13.589859E-6	-484.609604E-6	-723.886490E-6	255.966187E-6	-408.840179E-6	92.649460E-6
434.207916E-6	-364.971161E-6	13.780594E-6	-484.323502E-6	-723.218918E-6	255.250931E-6	-409.412384E-6	93.173981E-6
